Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,42.160000,42.235001,41.869999,42.165001,38.617878,426229
2014-12-01,41.919998,43.514999,41.889999,43.299999,39.657394,930248
2014-12-02,43.610001,44.279999,43.384998,43.685001,40.010010,849975
2014-12-03,43.630001,44.270000,43.630001,43.974998,40.275612,577458
2014-12-04,44.000000,44.115002,43.380001,43.529999,39.868042,654971
2014-12-05,43.880001,44.139999,43.665001,43.980000,40.280190,545008
2014-12-08,43.805000,44.209999,43.805000,43.884998,40.193184,386410
2014-12-09,43.275002,43.785000,42.939999,42.955002,39.341423,656244
2014-12-10,43.119999,43.529999,42.750000,42.775002,39.176563,442930
2014-12-11,42.764999,42.865002,42.365002,42.439999,38.869740,550290
2014-12-12,42.200001,42.279999,40.965000,40.985001,37.537144,702754
2014-12-15,40.799999,41.325001,40.195000,40.195000,36.813602,632399
2014-12-16,40.294998,40.595001,39.389999,40.595001,37.179951,1655102
2014-12-17,40.080002,41.209999,39.875000,41.044998,37.592094,877362
2014-12-18,41.680000,43.105000,41.455002,43.000000,39.382633,1168708
2014-12-19,43.250000,43.615002,42.884998,43.000000,39.382633,1033080
2014-12-22,43.195000,43.410000,42.970001,43.125000,39.497120,264184
2014-12-23,43.145000,43.775002,43.080002,43.700001,40.023743,310686
2014-12-24,43.509998,43.900002,43.509998,43.709999,40.032909,46844
2014-12-29,43.595001,43.900002,43.520000,43.810001,40.124493,425011
2014-12-30,43.750000,43.840000,43.145000,43.160000,39.529171,279055
2014-12-31,43.134998,43.715000,43.134998,43.544998,39.881783,200520
2015-01-02,43.540001,43.939999,43.134998,43.459999,39.803932,318181
2015-01-05,43.134998,44.055000,41.990002,42.060001,38.521713,587914
2015-01-06,42.154999,42.169998,41.189999,41.279999,37.807323,685792
2015-01-07,41.525002,41.525002,40.869999,40.980000,37.532566,588860
2015-01-08,41.474998,42.084999,41.230000,41.910000,38.384331,574641
2015-01-09,41.709999,42.299999,41.424999,41.709999,38.201153,491023
2015-01-12,41.895000,42.500000,41.630001,41.680000,38.173676,495360
2015-01-13,41.535000,41.665001,40.970001,41.474998,37.985920,793930
2015-01-14,40.950001,41.410000,40.775002,41.040001,37.587513,733520
2015-01-15,41.349998,42.540001,40.910000,42.445000,38.874321,1180523
2015-01-16,42.185001,42.474998,42.105000,42.310001,38.750683,755430
2015-01-19,42.314999,42.974998,42.110001,42.825001,39.222355,437608
2015-01-20,43.000000,43.889999,42.930000,43.674999,40.000847,538122
2015-01-21,43.715000,44.099998,43.345001,44.099998,40.390095,778920
2015-01-22,44.150002,45.430000,44.040001,45.250000,41.443356,865537
2015-01-23,45.480000,46.529999,45.369999,46.435001,42.528664,1089140
2015-01-26,46.230000,46.919998,46.230000,46.895000,42.949970,424153
2015-01-27,46.825001,46.904999,45.549999,45.669998,41.828018,749253
2015-01-28,46.029999,46.270000,45.634998,45.965000,42.098206,477624
2015-01-29,45.724998,47.145000,45.590000,46.955002,43.004921,982935
2015-01-30,48.005001,48.465000,47.645000,47.700001,43.687248,1245055
2015-02-02,47.895000,48.314999,47.119999,47.529999,43.531544,557295
2015-02-03,47.764999,49.020000,47.610001,48.685001,44.589386,926408
2015-02-04,48.610001,48.910000,48.334999,48.764999,44.662651,569645
2015-02-05,47.555000,48.365002,47.290001,48.275002,44.213879,660839
2015-02-06,47.615002,47.715000,46.860001,46.939999,42.991184,817994
