Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,44.540001,44.990002,43.505001,44.990002,34.348885,12596104
2014-12-01,44.270000,45.040001,43.290001,44.634998,34.077843,8064178
2014-12-02,45.060001,46.544998,44.900002,46.154999,35.238331,10407558
2014-12-03,46.294998,46.564999,45.055000,45.924999,35.062729,7101955
2014-12-04,46.099998,46.099998,44.110001,44.505001,33.978584,9967345
2014-12-05,45.160000,45.400002,44.400002,45.185001,34.497757,8313523
2014-12-08,45.084999,45.200001,44.334999,44.334999,33.848797,5302520
2014-12-09,43.770000,43.919998,42.939999,43.230000,33.005150,11288951
2014-12-10,43.389999,43.685001,42.230000,42.544998,32.482174,7857409
2014-12-11,42.575001,43.330002,41.950001,42.570000,32.501259,8572086
2014-12-12,42.084999,42.500000,41.134998,41.134998,31.405659,8676170
2014-12-15,40.764999,42.180000,39.255001,39.369999,30.510588,11804036
2014-12-16,39.419998,40.430000,38.250000,40.430000,31.332043,19984005
2014-12-17,39.695000,42.180000,39.279999,41.845001,32.428635,11967934
2014-12-18,42.740002,43.369999,41.820000,42.830002,33.191982,12546526
2014-12-19,43.599998,43.599998,42.400002,42.860001,33.215233,18774080
2014-12-22,43.439999,44.419998,42.474998,42.840000,33.199726,7715224
2014-12-23,42.790001,43.814999,42.514999,43.744999,33.901073,5638668
2014-12-24,43.904999,43.990002,43.400002,43.615002,33.800327,984969
2014-12-29,43.700001,43.880001,42.889999,43.744999,33.901073,4842201
2014-12-30,43.250000,43.445000,42.520000,42.535000,32.963356,5006078
2014-12-31,42.869999,42.950001,42.419998,42.520000,32.951740,1357217
2015-01-02,42.900002,43.310001,42.075001,42.525002,32.955616,4456793
2015-01-05,42.220001,42.389999,39.849998,39.980000,30.983309,10754689
2015-01-06,40.165001,41.044998,39.345001,39.919998,30.936808,9773351
2015-01-07,40.099998,41.330002,39.724998,40.825001,31.638172,8174121
2015-01-08,41.494999,42.490002,40.950001,42.400002,32.858738,9051105
2015-01-09,42.250000,42.455002,40.680000,41.064999,31.824148,8612117
2015-01-12,41.200001,41.494999,40.255001,41.279999,31.990776,7771896
2015-01-13,40.709999,41.790001,40.224998,41.700001,32.316254,8829947
2015-01-14,40.625000,41.669998,40.369999,40.814999,31.630415,10291132
2015-01-15,41.650002,42.514999,39.564999,41.950001,32.510010,13224266
2015-01-16,42.000000,43.654999,41.849998,43.299999,33.556210,15057197
2015-01-19,43.314999,43.630001,42.790001,43.055000,33.366348,7453306
2015-01-20,43.160000,43.959999,42.860001,43.570000,33.765453,9552708
2015-01-21,43.654999,44.615002,42.950001,44.450001,34.447422,10691034
2015-01-22,44.695000,45.990002,44.465000,45.064999,34.924038,11240714
2015-01-23,46.000000,46.355000,44.980000,45.945000,35.606007,12238647
2015-01-26,45.500000,46.860001,45.195000,46.685001,36.179485,8449141
2015-01-27,46.599998,46.660000,45.520000,46.389999,35.950874,7841052
2015-01-28,46.779999,46.799999,45.250000,45.564999,35.311512,8047726
2015-01-29,44.439999,45.320000,43.980000,44.910000,34.803917,9321706
2015-01-30,45.805000,45.994999,44.720001,45.500000,35.261147,11228168
2015-02-02,45.834999,47.189999,45.735001,47.000000,36.423599,10847091
2015-02-03,47.785000,48.599998,47.645000,48.279999,37.415565,12043649
2015-02-04,48.215000,48.424999,47.029999,47.750000,37.004833,10298211
2015-02-05,46.775002,48.279999,46.160000,48.080002,37.260571,8210402
2015-02-06,48.134998,48.314999,47.419998,47.680000,36.950581,6062408
2015-02-09,47.299999,48.139999,47.029999,47.950001,37.159828,8108676
2015-02-10,48.200001,48.250000,46.755001,47.349998,36.694843,8192996
2015-02-11,47.500000,47.500000,46.450001,46.950001,36.384850,5168594
2015-02-12,46.639999,47.950001,46.349998,47.349998,36.694843,8904939
2015-02-13,47.630001,47.900002,46.950001,47.375000,36.714218,8390994
2015-02-16,47.535000,47.610001,46.865002,47.115002,36.512718,4463613
2015-02-17,46.615002,47.674999,46.334999,47.279999,36.640594,5555785
2015-02-18,47.759998,47.834999,47.055000,47.264999,36.628967,5353346
2015-02-19,46.900002,46.900002,45.500000,45.980000,35.633133,10911577
2015-02-20,46.044998,46.310001,45.685001,46.035000,35.675762,10946262
2015-02-23,46.950001,46.950001,45.520000,46.290001,35.873371,6447787
2015-02-24,46.299999,47.345001,46.044998,47.185001,36.566975,6679411
2015-02-25,47.160000,47.349998,46.700001,47.349998,36.694843,5193503
2015-02-26,47.485001,47.685001,46.825001,47.250000,36.617348,6517275
2015-02-27,47.080002,48.320000,47.060001,48.235001,37.380695,8536472
2015-03-02,48.165001,48.165001,47.084999,47.189999,36.570847,7258940
2015-03-03,47.200001,47.384998,46.735001,47.125000,36.520473,6328748
2015-03-04,47.500000,47.799999,46.985001,47.435001,36.760712,6428028
2015-03-05,47.810001,48.305000,47.450001,47.470001,36.787842,6273821
2015-03-06,47.264999,47.500000,46.900002,47.005001,36.427479,5904960
2015-03-09,46.810001,46.875000,46.290001,46.685001,36.179485,5691952
2015-03-10,46.590000,46.590000,45.119999,45.180000,35.013161,9560545
2015-03-11,45.369999,45.770000,45.020000,45.465000,35.234024,9491414
2015-03-12,45.474998,45.985001,45.330002,45.439999,35.214653,5547248
2015-03-13,45.520000,45.520000,44.224998,44.645000,34.598549,9363565
2015-03-16,44.705002,44.794998,44.180000,44.570000,34.540428,7105448
2015-03-17,44.625000,45.320000,44.599998,45.209999,35.036407,8321856
2015-03-18,45.380001,46.000000,45.150002,46.000000,35.648628,7094344
2015-03-19,46.145000,46.580002,45.945000,46.474998,36.016747,6671262
2015-03-20,46.669998,47.775002,46.255001,47.634998,36.915710,14032253
2015-03-23,47.185001,47.200001,46.720001,46.950001,36.856831,5856401
2015-03-24,46.564999,47.285000,46.369999,46.884998,36.805801,5720541
2015-03-25,46.544998,46.919998,46.419998,46.505001,36.507504,6156620
2015-03-26,46.849998,47.410000,45.974998,46.590000,36.574223,9107892
2015-03-27,46.669998,46.669998,45.939999,46.595001,36.578152,7335388
2015-03-30,46.509998,47.244999,46.305000,47.000000,36.896084,5479616
2015-03-31,46.865002,47.130001,46.169998,46.275002,36.326942,7320039
2015-04-01,46.160000,46.970001,46.064999,46.369999,36.401520,6961016
2015-04-02,46.459999,46.740002,45.669998,45.845001,35.989384,5540328
2015-04-07,46.415001,47.900002,46.340000,47.595001,37.363178,8326358
2015-04-08,48.000000,48.595001,46.910000,47.049999,36.935333,7678025
2015-04-09,47.134998,47.965000,46.500000,47.965000,37.653637,6463528
2015-04-10,48.000000,48.595001,47.669998,48.520000,38.089321,5457985
2015-04-13,48.514999,48.970001,48.369999,48.759998,38.277721,5605582
2015-04-14,48.584999,48.950001,48.209999,48.730000,38.254181,6329422
2015-04-15,48.889999,49.965000,48.820000,49.740002,39.047050,7539581
2015-04-16,49.849998,49.950001,49.209999,49.310001,38.709488,6538199
2015-04-17,49.180000,49.634998,48.474998,48.869999,38.364071,10432739
